,Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percent_Dly_Qt_to_Traded_Qty,Date_Year,Date_Month,Day_Perc_Change,Trend
0,MUTHOOTFIN,EQ,2017-05-15,390.7,391.0,396.5,388.5,393.0,392.45,393.38,385865,151790704.55,6893,63660,16.5,2017,5,0.0,Slight
2,MUTHOOTFIN,EQ,2017-05-16,392.45,393.65,400.95,393.25,393.45,394.8,398.01,514200,204657807.2,9938,100880,19.62,2017,5,0.6,Slight positive
6,MUTHOOTFIN,EQ,2017-05-17,394.8,396.9,398.0,392.6,394.1,395.15,394.9,311597,123048142.65,6512,116484,37.38,2017,5,0.09,Slight
8,MUTHOOTFIN,EQ,2017-05-18,395.15,393.0,395.45,375.1,378.85,379.2,386.45,646434,249811874.3,11171,238171,36.84,2017,5,-4.04,Among top losers
10,MUTHOOTFIN,EQ,2017-05-19,379.2,395.0,400.9,357.45,381.0,379.15,382.13,3211995,1227388956.65,42906,1193472,37.16,2017,5,-0.01,Slight
12,MUTHOOTFIN,EQ,2017-05-22,379.15,382.1,393.95,380.8,386.0,385.45,386.04,1733876,669340270.15,19865,1424301,82.15,2017,5,1.66,Positive
16,MUTHOOTFIN,EQ,2017-05-23,385.45,386.65,389.75,372.05,381.7,382.85,383.44,915259,350950995.4,34400,453098,49.5,2017,5,-0.67,Slight negative
19,MUTHOOTFIN,EQ,2017-05-24,382.85,384.0,395.4,383.5,387.0,386.05,388.48,760640,295493960.35,16850,311133,40.9,2017,5,0.84,Slight positive
21,MUTHOOTFIN,EQ,2017-05-25,386.05,389.8,393.4,386.85,389.5,389.4,390.29,580979,226749448.15,15465,361210,62.17,2017,5,0.87,Slight positive
25,MUTHOOTFIN,EQ,2017-05-26,389.4,393.95,403.4,389.45,399.0,398.9,398.08,891020,354698808.25,18982,407907,45.78,2017,5,2.44,Positive
29,MUTHOOTFIN,EQ,2017-05-29,398.9,397.0,398.75,386.65,391.0,391.0,391.49,365945,143263174.15,8549,161197,44.05,2017,5,-1.98,Negative
