Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No_of_Trades,Deliverable_Qty,Percentage_Dly_Qt_to_Traded_Qty,Year,Month,Day_Perc_Change,Trend
MUTHOOTFIN,EQ,2017-05-15,390.7,391.0,396.5,388.5,393.0,392.45,393.38,385865,1.5179070455E8,6893,63660,16.5,2017,5,0.0,Slight
MUTHOOTFIN,EQ,2017-05-16,392.45,393.65,400.95,393.25,393.45,394.8,398.01,514200,2.046578072E8,9938,100880,19.62,2017,5,0.005988023952095867,Slight
MUTHOOTFIN,EQ,2017-05-17,394.8,396.9,398.0,392.6,394.1,395.15,394.9,311597,1.2304814265E8,6512,116484,37.38,2017,5,8.86524822694949E-4,Slight
MUTHOOTFIN,EQ,2017-05-18,395.15,393.0,395.45,375.1,378.85,379.2,386.45,646434,2.498118743E8,11171,238171,36.84,2017,5,-0.04036441857522457,Slight
MUTHOOTFIN,EQ,2017-05-19,379.2,395.0,400.9,357.45,381.0,379.15,382.13,3211995,1.22738895665E9,42906,1193472,37.16,2017,5,-1.3185654008441818E-4,Slight
MUTHOOTFIN,EQ,2017-05-22,379.15,382.1,393.95,380.8,386.0,385.45,386.04,1733876,6.6934027015E8,19865,1424301,82.15,2017,5,0.016616114994065703,Slight
MUTHOOTFIN,EQ,2017-05-23,385.45,386.65,389.75,372.05,381.7,382.85,383.44,915259,3.509509954E8,34400,453098,49.5,2017,5,-0.006745362563237686,Slight
MUTHOOTFIN,EQ,2017-05-24,382.85,384.0,395.4,383.5,387.0,386.05,388.48,760640,2.9549396035E8,16850,311133,40.9,2017,5,0.008358364894867411,Slight
MUTHOOTFIN,EQ,2017-05-25,386.05,389.8,393.4,386.85,389.5,389.4,390.29,580979,2.2674944815E8,15465,361210,62.17,2017,5,0.00867763243103216,Slight
MUTHOOTFIN,EQ,2017-05-26,389.4,393.95,403.4,389.45,399.0,398.9,398.08,891020,3.5469880825E8,18982,407907,45.78,2017,5,0.024396507447354908,Slight
MUTHOOTFIN,EQ,2017-05-29,398.9,397.0,398.75,386.65,391.0,391.0,391.49,365945,1.4326317415E8,8549,161197,44.05,2017,5,-0.01980446227124587,Slight
MUTHOOTFIN,EQ,2017-05-30,391.0,392.5,396.3,382.5,395.0,395.05,393.63,248705,9.78968008E7,7024,117282,47.16,2017,5,0.010358056265984683,Slight
